@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric

@data
1567,'2024/06/06 14:45:41:156',9,177,117,64,0
1568,'2024/06/06 14:45:41:189',9,178,117,64,0
1569,'2024/06/06 14:45:50:828',10,43,77,90,0.9
1570,'2024/06/06 14:45:50:861',10,41,74,93,0.9
1571,'2024/06/06 14:45:50:896',10,41,74,93,0.9
1572,'2024/06/06 14:45:50:932',10,42,74,92,0.9
1573,'2024/06/06 14:45:50:962',10,42,75,92,0.9
1574,'2024/06/06 14:45:50:995',10,42,75,91,0.9
1575,'2024/06/06 14:45:51:025',10,42,75,91,0.9
1576,'2024/06/06 14:45:51:048',10,42,75,91,0.9
1577,'2024/06/06 14:45:51:076',10,42,76,90,0.9
1578,'2024/06/06 14:45:51:094',10,42,76,90,0.9
1579,'2024/06/06 14:45:51:114',10,41,74,91,0.9
1580,'2024/06/06 14:45:51:134',10,41,74,91,0.9
1581,'2024/06/06 14:45:51:155',10,41,74,91,0.9
1582,'2024/06/06 14:45:51:176',10,40,75,90,0.9
1583,'2024/06/06 14:45:51:194',10,40,75,90,0.9
1584,'2024/06/06 14:45:51:214',10,40,75,90,0.9
1585,'2024/06/06 14:45:51:235',10,38,76,91,0.9
1586,'2024/06/06 14:45:51:253',10,37,75,91,0.9
1587,'2024/06/06 14:45:51:272',10,37,75,91,0.9
1588,'2024/06/06 14:45:51:294',10,36,76,91,0.9
1589,'2024/06/06 14:45:51:314',10,36,76,91,0.9
1590,'2024/06/06 14:45:51:333',10,36,77,89,0.9
1591,'2024/06/06 14:45:51:356',10,34,77,89,0.9
1592,'2024/06/06 14:45:51:377',10,34,77,89,0.9
1593,'2024/06/06 14:45:51:396',10,32,77,89,0.9
1594,'2024/06/06 14:45:51:418',10,32,78,87,0.9
1595,'2024/06/06 14:45:51:437',10,32,78,87,0.9
1596,'2024/06/06 14:45:51:456',10,30,78,89,0.9
1597,'2024/06/06 14:45:51:476',10,29,78,88,0.9
1598,'2024/06/06 14:45:51:496',10,29,78,88,0.9
1599,'2024/06/06 14:45:51:519',10,28,78,87,0.9
1600,'2024/06/06 14:45:51:540',10,28,78,87,0.9
1601,'2024/06/06 14:45:51:560',10,25,77,89,0.9
1602,'2024/06/06 14:45:51:580',10,25,78,89,0.9
1603,'2024/06/06 14:45:51:602',10,25,78,89,0.9
1604,'2024/06/06 14:45:51:621',10,25,78,89,0.9
1605,'2024/06/06 14:45:51:640',10,24,78,87,0.9
1606,'2024/06/06 14:45:51:659',10,24,78,87,0.9
1607,'2024/06/06 14:45:51:679',10,24,78,87,0.9
1608,'2024/06/06 14:45:51:699',10,21,79,89,0.9
1609,'2024/06/06 14:45:51:724',10,20,79,89,0.9
1610,'2024/06/06 14:45:51:743',10,20,79,89,0.9
1611,'2024/06/06 14:45:51:762',10,20,80,87,0.9
1612,'2024/06/06 14:45:51:783',10,18,81,87,0.9
1613,'2024/06/06 14:45:51:802',10,18,81,87,0.9
1614,'2024/06/06 14:45:51:821',10,17,82,86,0.9
1615,'2024/06/06 14:45:51:840',10,17,82,86,0.9
1616,'2024/06/06 14:45:51:861',10,17,82,85,0.9
1617,'2024/06/06 14:45:51:883',10,16,82,86,0.9
1618,'2024/06/06 14:45:51:902',10,16,82,86,0.9
1619,'2024/06/06 14:45:51:924',10,16,82,86,0.9
1620,'2024/06/06 14:45:51:946',10,16,82,86,0.9
1621,'2024/06/06 14:45:51:967',10,16,82,86,0.9
1622,'2024/06/06 14:45:51:986',10,17,83,83,0.9
1623,'2024/06/06 14:45:52:006',10,17,83,83,0.9
1624,'2024/06/06 14:45:52:028',10,18,84,82,0.9
1625,'2024/06/06 14:45:52:051',10,18,84,82,0.9
1626,'2024/06/06 14:45:52:074',10,21,86,80,0.9
1627,'2024/06/06 14:45:52:095',10,20,83,85,0.9
1628,'2024/06/06 14:45:53:230',11,44,2,95,0.9
1629,'2024/06/06 14:45:53:256',11,44,2,95,0.9
1630,'2024/06/06 14:45:53:280',11,44,1,94,0.9
1631,'2024/06/06 14:45:53:310',11,42,1,94,0.9
1632,'2024/06/06 14:45:53:339',11,42,1,94,0.9
1633,'2024/06/06 14:45:53:369',11,40,2,97,0.9
1634,'2024/06/06 14:45:53:406',11,38,1,98,0.9
1635,'2024/06/06 14:45:53:436',11,36,3,98,0.9
1636,'2024/06/06 14:45:53:468',11,37,3,99,0.9
1637,'2024/06/06 14:45:53:508',11,37,4,99,0.9
1638,'2024/06/06 14:45:53:542',11,36,3,101,0.9
1639,'2024/06/06 14:45:53:570',11,36,5,99,0.9
1640,'2024/06/06 14:45:53:600',11,36,6,103,0.9
1641,'2024/06/06 14:45:53:634',11,35,6,103,0.9
1642,'2024/06/06 14:45:53:658',11,36,6,105,0.9
1643,'2024/06/06 14:45:53:690',11,40,8,101,0.9
1644,'2024/06/06 14:45:53:724',11,40,8,106,0.9
1645,'2024/06/06 14:45:53:755',11,41,8,106,0.9
1646,'2024/06/06 14:45:53:786',11,43,8,108,0.9
1647,'2024/06/06 14:45:53:820',11,43,8,108,0.9
1648,'2024/06/06 14:45:53:853',11,46,10,108,0.9
1649,'2024/06/06 14:45:53:890',11,47,12,108,0.9
1650,'2024/06/06 14:45:53:922',11,53,15,109,0.9
1651,'2024/06/06 14:45:53:955',11,53,15,109,0.9
1652,'2024/06/06 14:45:53:986',11,57,18,106,0.9
1653,'2024/06/06 14:45:54:022',11,59,19,106,0.9
1654,'2024/06/06 14:45:54:055',11,61,20,106,0.9
1655,'2024/06/06 14:45:54:088',11,60,19,110,0.9
1656,'2024/06/06 14:45:54:118',11,65,23,105,0.9
1657,'2024/06/06 14:45:54:156',11,64,23,107,0.9
1658,'2024/06/06 14:45:54:188',11,66,24,104,0.9
1659,'2024/06/06 14:45:54:217',11,62,25,102,0.9
1660,'2024/06/06 14:45:54:243',11,61,27,101,0.9
1661,'2024/06/06 14:45:54:265',11,61,27,101,0.9
1662,'2024/06/06 14:45:54:290',11,59,28,102,0.9
1663,'2024/06/06 14:45:54:320',11,56,30,98,0.9
1664,'2024/06/06 14:45:54:353',11,56,30,98,0.9
1665,'2024/06/06 14:45:54:382',11,51,30,100,0.9
1666,'2024/06/06 14:45:54:412',11,47,31,100,0.9
1667,'2024/06/06 14:45:54:433',11,42,32,102,0.9
1668,'2024/06/06 14:45:54:454',11,42,32,102,0.9
