@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric

@data
2272,'2024/06/06 14:46:48:006',18,105,59,129,0.54
2273,'2024/06/06 14:46:48:040',18,110,75,122,0.54
2274,'2024/06/06 14:46:48:069',18,110,81,123,0.54
2275,'2024/06/06 14:46:48:101',18,112,89,118,0.54
2276,'2024/06/06 14:46:48:129',18,113,94,118,0.54
2277,'2024/06/06 14:46:48:156',18,113,94,118,0.54
2278,'2024/06/06 14:46:48:185',18,114,98,120,0.54
2279,'2024/06/06 14:46:48:221',18,114,106,117,0.54
2280,'2024/06/06 14:46:48:252',18,116,112,113,0.54
2281,'2024/06/06 14:46:48:290',18,116,116,113,0.54
2282,'2024/06/06 14:46:48:320',18,121,124,110,0.54
2283,'2024/06/06 14:46:48:351',18,121,124,110,0.54
2284,'2024/06/06 14:46:48:387',18,121,125,109,0.54
2285,'2024/06/06 14:46:48:417',18,124,129,105,0.54
2286,'2024/06/06 14:46:48:448',18,125,132,103,0.54
2287,'2024/06/06 14:46:48:479',18,124,133,104,0.54
2288,'2024/06/06 14:46:48:508',18,124,133,104,0.54
2289,'2024/06/06 14:46:48:540',18,125,135,101,0.54
2290,'2024/06/06 14:46:48:578',18,130,138,97,0.54
2291,'2024/06/06 14:46:48:608',18,130,138,97,0.54
2292,'2024/06/06 14:46:48:637',18,130,138,97,0.54
2293,'2024/06/06 14:46:48:665',18,128,134,101,0.54
2294,'2024/06/06 14:46:48:695',18,128,134,101,0.54
2295,'2024/06/06 14:46:48:724',18,126,132,104,0.54
2296,'2024/06/06 14:46:48:753',18,126,132,104,0.54
2297,'2024/06/06 14:46:48:784',18,126,130,104,0.54
2298,'2024/06/06 14:46:48:811',18,123,126,107,0.54
2299,'2024/06/06 14:46:48:841',18,123,125,105,0.54
2300,'2024/06/06 14:46:48:870',18,120,120,109,0.54
2301,'2024/06/06 14:46:48:903',18,118,118,110,0.54
2302,'2024/06/06 14:46:48:936',18,118,115,109,0.54
2303,'2024/06/06 14:46:48:969',18,116,113,109,0.54
2304,'2024/06/06 14:46:48:997',18,114,110,111,0.54
2305,'2024/06/06 14:46:49:028',18,112,107,112,0.54
2306,'2024/06/06 14:46:49:055',18,112,106,108,0.54
2307,'2024/06/06 14:46:49:086',18,108,103,112,0.54
2308,'2024/06/06 14:46:49:117',18,109,103,108,0.54
2309,'2024/06/06 14:46:49:144',18,109,103,108,0.54
2310,'2024/06/06 14:46:49:179',18,107,100,110,0.54
2311,'2024/06/06 14:46:49:209',18,107,100,105,0.54
2312,'2024/06/06 14:46:49:242',18,105,96,108,0.54
2313,'2024/06/06 14:46:49:273',18,102,94,111,0.54
2314,'2024/06/06 14:46:49:305',18,101,92,109,0.54
2315,'2024/06/06 14:46:49:337',18,101,92,107,0.54
2316,'2024/06/06 14:46:49:367',18,98,90,108,0.54
2317,'2024/06/06 14:46:49:396',18,98,90,104,0.54
2318,'2024/06/06 14:46:49:424',18,98,89,102,0.54
2319,'2024/06/06 14:46:49:458',18,96,89,100,0.54
2320,'2024/06/06 14:46:49:486',18,95,87,102,0.54
2321,'2024/06/06 14:46:49:518',18,93,86,104,0.54
2322,'2024/06/06 14:46:49:555',18,93,86,104,0.54
2323,'2024/06/06 14:46:49:586',18,91,86,104,0.54
2324,'2024/06/06 14:46:49:615',18,92,86,100,0.54
2325,'2024/06/06 14:46:49:645',18,92,85,100,0.54
2326,'2024/06/06 14:46:49:675',18,92,84,101,0.54
2327,'2024/06/06 14:46:49:710',18,93,84,97,0.54
2328,'2024/06/06 14:46:49:739',18,92,82,97,0.54
2329,'2024/06/06 14:46:49:768',18,90,80,100,0.54
2330,'2024/06/06 14:46:49:795',18,90,78,101,0.54
2331,'2024/06/06 14:46:49:824',18,90,78,99,0.54
2332,'2024/06/06 14:46:49:852',18,90,77,97,0.54
2333,'2024/06/06 14:46:49:886',18,90,76,98,0.54
2334,'2024/06/06 14:46:49:914',18,90,75,99,0.54
2335,'2024/06/06 14:46:49:949',18,90,75,99,0.54
2336,'2024/06/06 14:46:49:978',18,93,75,94,0.54
2337,'2024/06/06 14:46:50:007',18,90,72,100,0.54
2338,'2024/06/06 14:46:50:037',18,92,72,96,0.54
2339,'2024/06/06 14:46:50:066',18,92,72,95,0.54
2340,'2024/06/06 14:46:50:094',18,93,72,93,0.54
